temp,cp,time,Norm,RAWCP,First,Second,Third
12.28956,,100,-0.44213,-0.44213,,,
13.99116,,200,-12652.18575,-0.32945,,,
15.69047,-5.40871,300,-5.40871,-0.33142,1.48727E-4,7.0793E-6,-9.41102E-6
17.39137,-6.53496,400,-6.53496,-0.33443,1.48727E-4,7.0793E-6,-9.41102E-6
19.0908,8.15005,500,8.15005,-0.33478,1.62886E-4,-1.17427E-5,-2.79531E-5
20.79058,11.85205,600,11.85205,-0.33265,1.25241E-4,-4.88268E-5,-3.02293E-4
22.4905,29.04122,700,29.04122,-0.32747,6.52319E-5,-6.1633E-4,-1.61589E-4
24.18925,33.7518,800,33.7518,-0.3204,-0.00111,-3.72006E-4,5.61839E-4
25.89108,-36.12738,900,-36.12738,-0.3114,-6.7878E-4,5.07349E-4,3.46394E-4
27.58946,-1.51152,1000,-1.51152,-0.29583,-9.272E-5,3.20782E-4,3.48116E-5
29.28966,-35.59254,1100,-35.59254,-0.28423,-3.72163E-5,5.76972E-4,1.77364E-4
30.98707,-9.87415,1200,-9.87415,-0.27266,0.00106,6.7551E-4,-2.64138E-4
32.68721,25.83821,1300,25.83821,-0.25689,0.00131,4.86965E-5,-4.25728E-4
34.38686,57.06005,1400,57.06005,-0.23889,0.00116,-1.75945E-4,5.2243E-5
36.08711,68.05614,1500,68.05614,-0.21942,9.61914E-4,1.53183E-4,3.08048E-4
37.78728,72.46944,1600,72.46944,-0.19884,0.00146,4.40151E-4,9.06484E-6
39.48609,111.54488,1700,111.54488,-0.17695,0.00184,1.71312E-4,-1.44768E-4
41.18698,135.42736,1800,135.42736,-0.15526,0.00181,1.50615E-4,3.52745E-5
42.88548,163.47332,1900,163.47332,-0.13402,0.00214,2.41861E-4,-8.1746E-5
44.58517,205.89915,2000,205.89915,-0.115,0.00229,-1.28767E-5,1.40851E-4
46.28345,239.13612,2100,239.13612,-0.09874,0.00212,5.23562E-4,5.26677E-4
47.98311,263.14896,2200,263.14896,-0.08504,0.00334,0.00104,1.80571E-4
49.68299,386.12234,2300,386.12234,-0.07042,0.0042,8.84704E-4,1.5531E-4
51.38142,473.36824,2400,473.36824,-0.05752,0.00511,0.00135,4.66153E-4
53.08106,664.40837,2500,664.40837,-0.04274,0.0069,0.00182,3.10794E-4
54.77995,888.67803,2600,888.67803,-0.02748,0.00874,0.00197,1.77443E-4
56.48,1221.53598,2700,1221.53598,-0.00985,0.01085,0.00217,-3.86943E-4
58.17778,1608.9956,2800,1608.9956,0.00889,0.01309,0.0012,-0.00152
59.87655,2116.52878,2900,2116.52878,0.02974,0.01324,-8.60948E-4,-0.00207
61.57321,2519.88962,3000,2519.88962,0.04806,0.01136,-0.00295,-0.00217
63.27054,2887.88594,3100,2887.88594,0.06473,0.00734,-0.00521,-0.00205
64.97086,2988.14531,3200,2988.14531,0.07427,9.50055E-4,-0.00705,-0.00125
66.66918,2872.20392,3300,2872.20392,0.07716,-0.00677,-0.00771,0.00162
68.3693,2387.8909,3400,2387.8909,0.0716,-0.01447,-0.0038,0.00478
70.06808,1689.16159,3500,1689.16159,0.05979,-0.01438,0.00186,0.00326
71.76854,1222.7179,3600,1222.7179,0.05139,-0.01076,0.00272,1.15478E-4
73.46706,812.96434,3700,812.96434,0.04729,-0.00893,0.00209,-4.87971E-4
75.16648,499.47659,3800,499.47659,0.04452,-0.00659,0.00174,-1.11304E-4
76.86588,283.49725,3900,283.49725,0.04487,-0.00545,0.00186,2.42608E-4
78.5637,72.62033,4000,72.62033,0.04244,-0.00286,0.00223,-6.89738E-4
80.26402,70.11587,4100,70.11587,0.04765,-9.84954E-4,4.84709E-4,-8.20408E-4
81.96228,13.52745,4200,13.52745,0.05279,-0.00189,5.89243E-4,3.87269E-4
83.66393,-61.61487,4300,-61.61487,0.05251,1.93532E-4,0.00126,-2.32762E-4
85.36394,20.69314,4400,20.69314,0.06134,6.27053E-4,1.23719E-4,-1.79236E-4
87.06418,-58.91077,4500,-58.91077,0.06554,4.40969E-4,9.00775E-4,3.47691E-4
88.76562,-42.2943,4600,-42.2943,0.07258,0.00243,8.191E-4,-2.6451E-4
90.46621,-30.78132,4700,-30.78132,0.07921,0.00208,3.71756E-4,1.37353E-4
92.16841,-106.7998,4800,-106.7998,0.08432,0.00317,0.00109,-4.71917E-6
93.86657,-74.77786,4900,-74.77786,0.0945,0.00427,3.62318E-4,5.67849E-4
95.56832,-118.96238,5000,-118.96238,0.10112,0.0039,0.00223,9.38477E-4
97.26903,-144.14104,5100,-144.14104,0.10878,0.00873,0.00224,-0.00248
98.97092,191.95684,5200,191.95684,0.12293,0.00838,-0.00273,-0.00314
100.67321,201.07065,5300,201.07065,0.13023,0.00326,-0.00404,-9.98217E-4
102.37435,253.76353,5400,253.76353,0.13478,3.01349E-4,-0.00473,3.91719E-4
104.07805,169.46651,5500,169.46651,0.13294,-0.0062,-0.00325,0.00236
105.77986,-150.46736,5600,-150.46736,0.12601,-0.00621,-1.59192E-6,0.00163
107.48479,-139.90957,5700,-139.90957,0.12609,-0.00621,-1.59192E-6,0.00163
