temp,cp,time,Norm,RAWCP,First,Second,Third,CPPEAK1
12.1891,,100,-0.47927,-0.47927,,,,
13.88953,,200,-17154.30632,-0.34056,,,,
15.589,16.87755,300,16.87755,-0.34107,5.13782E-5,2.61897E-4,6.7234E-5,9.53754
17.2902,-11.01751,400,-11.01751,-0.34366,5.13782E-5,2.61897E-4,6.7234E-5,14.38446
18.98918,-12.68903,500,-12.68903,-0.34349,5.75173E-4,3.96365E-4,-1.03202E-4,21.56738
20.68909,-0.28472,600,-0.28472,-0.34008,8.44109E-4,5.5494E-5,-1.97127E-4,32.16703
22.38988,12.34122,700,12.34122,-0.33381,6.86161E-4,2.11077E-6,5.38667E-5,47.71038
24.09042,-0.53237,800,-0.53237,-0.32544,8.4833E-4,1.63227E-4,-1.71407E-4,70.32464
25.7913,19.74514,900,19.74514,-0.31268,0.00101,-3.40704E-4,-1.23052E-5,102.96222
27.491,10.85973,1000,10.85973,-0.2967,1.66922E-4,1.38617E-4,8.73588E-4,149.54478
29.19249,-77.54115,1100,-77.54115,-0.28434,0.00129,0.00141,1.91264E-4,215.31774
30.89008,-11.86367,1200,-11.86367,-0.27046,0.00298,5.21146E-4,-0.00108,306.37357
32.5898,35.13208,1300,35.13208,-0.25306,0.00233,-7.44183E-4,-5.52212E-4,430.21765
34.28927,27.63777,1400,27.63777,-0.23476,0.00149,-5.83278E-4,5.18842E-4,593.77999
35.98893,5.36088,1500,5.36088,-0.21502,0.00117,2.935E-4,0.00212,801.82082
37.68933,-14.25772,1600,-14.25772,-0.19372,0.00208,0.00365,0.00518,1053.27808
39.38884,70.69951,1700,70.69951,-0.17028,0.00848,0.01066,0.00305,1336.31837
41.09043,706.21373,1800,706.21373,-0.13677,0.0234,0.00975,-0.00966,1625.70743
42.78854,2305.22482,1900,2305.22482,-0.08485,0.02797,-0.00865,-0.01526,1881.22634
44.48872,3410.89775,2000,3410.89775,-0.04646,0.0061,-0.02078,-4.79801E-4,2058.85364
46.18824,2817.16306,2100,2817.16306,-0.04376,-0.01358,-0.00961,0.01162,2122.47616
47.88839,1950.45099,2200,1950.45099,-0.04862,-0.01312,0.00247,0.00637,2060.05422
49.5893,1413.79053,2300,1413.79053,-0.04947,-0.00864,0.00313,-3.11707E-4,1887.96891
51.28907,1009.28528,2400,1009.28528,-0.04843,-0.00687,0.00185,-6.18693E-4,1643.61781
52.99206,662.14123,2500,662.14123,-0.04639,-0.00495,0.00189,-1.75591E-4,1369.15896
54.69202,462.44831,2600,462.44831,-0.04234,-0.00309,0.0015,-6.06398E-4,1101.14788
