temp,cp,time,Norm,RAWCP,First,Second,Third,CPPEAK1
11.47958,,100,-0.76687,-0.76687,,,,
13.176,,200,-36744.33409,-0.30513,,,,
14.87653,310.78869,300,310.78869,-0.29214,-0.00112,5.09755E-4,1.71808E-5,0.24209
16.57673,86.61452,400,86.61452,-0.29647,-0.00112,5.09755E-4,1.71808E-5,0.36647
18.27786,38.99722,500,38.99722,-0.29872,-9.72985E-5,5.44117E-4,-3.30074E-4,0.55215
19.97607,57.05324,600,57.05324,-0.29782,-2.85751E-5,-1.50393E-4,-3.36452E-4,0.82732
21.67654,20.02929,700,20.02929,-0.29443,-3.98085E-4,-1.28787E-4,6.30085E-5,1.23441
23.37646,-59.82517,800,-59.82517,-0.28892,-2.86149E-4,-2.43765E-5,3.50757E-5,1.83294
25.07623,-81.94685,900,-81.94685,-0.27987,-4.46838E-4,-5.86352E-5,2.04957E-4,2.709
26.77484,-215.56639,1000,-215.56639,-0.26707,-4.03419E-4,3.85537E-4,3.5965E-4,3.98444
28.47395,-244.84272,1100,-244.84272,-0.2537,3.24236E-4,6.60665E-4,-3.47272E-5,5.83449
30.17348,-222.44615,1200,-222.44615,-0.24281,9.17911E-4,3.16083E-4,-2.96895E-4,8.50579
31.87019,-128.0811,1300,-128.0811,-0.22834,9.56401E-4,6.68746E-5,-6.30936E-5,12.33646
33.57017,-114.64239,1400,-114.64239,-0.21227,0.00105,1.89895E-4,-7.04939E-5,17.82342
35.26911,-13.29015,1500,-13.29015,-0.19349,0.00134,-7.41132E-5,-2.64947E-4,25.62518
36.97066,55.80883,1600,55.80883,-0.17264,9.03434E-4,-3.39999E-4,2.39224E-5,36.68471
38.67068,43.57313,1700,43.57313,-0.15249,6.56193E-4,-2.62684E-5,1.41669E-4,52.23419
40.37169,47.24252,1800,47.24252,-0.13139,8.50897E-4,-5.66622E-5,-9.22141E-5,73.98447
42.07049,79.18518,1900,79.18518,-0.1112,5.42869E-4,-2.10697E-4,-3.81201E-6,104.11721
43.76866,8.84648,2000,8.84648,-0.09207,4.29504E-4,-6.42862E-5,2.03612E-4,145.51548
45.4687,15.90912,2100,15.90912,-0.07445,4.14296E-4,1.96528E-4,2.96445E-4,201.85716
47.16835,-53.49992,2200,-53.49992,-0.06003,8.2256E-4,5.28604E-4,6.72398E-5,277.39397
48.86836,58.66112,2300,58.66112,-0.04674,0.00147,3.31008E-4,-4.0675E-4,376.94373
50.56717,154.51326,2400,154.51326,-0.03597,0.00148,-2.84896E-4,-7.04433E-5,505.06829
52.2668,280.83104,2500,280.83104,-0.02547,9.01713E-4,1.90121E-4,9.17292E-4,665.34978
53.96553,248.66647,2600,248.66647,-0.01672,0.00186,0.00155,5.67585E-4,858.03267
55.66462,619.5088,2700,619.5088,-0.00554,0.004,0.00133,-0.00103,1078.2648
57.36431,1113.72994,2800,1113.72994,0.0059,0.00452,-5.07854E-4,-0.00128,1313.40529
59.06335,1619.56165,2900,1619.56165,0.01598,0.00299,-0.00124,-2.16869E-4,1541.88698
60.76284,1755.62752,3000,1755.62752,0.02429,0.00204,-9.41591E-4,-5.36762E-5,1735.72903
62.45752,2043.7742,3100,2043.7742,0.03282,0.0011,-0.00134,1.54172E-4,1865.59009
64.15816,1962.3169,3200,1962.3169,0.03735,-6.46884E-4,-6.33247E-4,5.17667E-4,1910.75032
65.85695,1837.09214,3300,1837.09214,0.04343,-1.64292E-4,-3.08914E-4,-4.57517E-4,1864.01608
67.5562,1879.06296,3400,1879.06296,0.04818,-0.00126,-0.00155,-3.054E-4,1735.74517
69.25574,1495.18698,3500,1495.18698,0.05028,-0.00326,-9.19715E-4,0.00141,1549.06847
70.95445,1062.00396,3600,1062.00396,0.05167,-0.0031,0.00127,8.27237E-4,1332.24227
72.65578,720.66774,3700,720.66774,0.05426,-7.1561E-4,7.34758E-4,-0.00138,1110.36853
74.35519,866.76183,3800,866.76183,0.06069,-0.00163,-0.00148,3.63508E-5,902.62332
76.05593,307.32553,3900,307.32553,0.05987,-0.00367,8.0746E-4,0.00173,719.29652
77.75498,-34.45593,4000,-34.45593,0.06354,-1.97056E-5,0.00198,-6.35136E-4,564.81169
79.45559,287.03989,4100,287.03989,0.06942,2.82363E-4,-4.62812E-4,-0.0012,438.53376
81.1553,18.84364,4200,18.84364,0.07255,-9.45329E-4,-4.17761E-4,1.6171E-4,337.86089
82.85546,43.98377,4300,43.98377,0.07764,-5.5316E-4,-1.39392E-4,4.09451E-4,258.8822
84.55718,-132.78277,4400,-132.78277,0.08022,-0.00122,4.0114E-4,5.45525E-4,197.63059
86.2575,-274.83296,4500,-274.83296,0.08605,2.4912E-4,9.51659E-4,2.31119E-4,150.60394
87.95911,-104.59364,4600,-104.59364,0.09255,6.79204E-4,8.63379E-4,-5.97619E-4,114.6423
89.65781,-151.93907,4700,-151.93907,0.09507,0.00198,-2.43579E-4,-0.00135,87.30389
91.36011,321.74505,4800,321.74505,0.10362,1.92047E-4,-0.00184,4.41321E-4,66.48417
93.05941,-163.33672,4900,-163.33672,0.10648,-0.00169,6.39062E-4,0.00174,50.70563
94.75878,-151.57952,5000,-151.57952,0.10873,0.00147,0.00164,-9.47954E-4,38.72394
96.46013,117.87247,5100,117.87247,0.11288,0.00158,-0.00126,-0.00149,29.61175
98.15934,148.30605,5200,148.30605,0.11805,-0.00104,-0.00135,0.00126,22.69177
99.86244,-219.07238,5300,-219.07238,0.11635,-0.00113,0.00126,0.00165,17.41156
101.56376,-215.22673,5400,-215.22673,0.11842,0.00147,0.00194,-3.09353E-4,13.39044
103.26482,39.02007,5500,39.02007,0.12392,0.00275,6.38601E-4,-6.50397E-4,10.31956
104.96667,347.09597,5600,347.09597,0.12686,0.00275,6.38601E-4,-6.50397E-4,7.96863
