temp,cp,time,Norm,RAWCP,First,Second,Third,CPPEAK1
11.50658,,100,-0.8405,-0.8405,,,,
13.2033,,200,-15806.60857,-0.40489,,,,
14.90295,-14.39304,300,-14.39304,-0.39047,7.0294E-4,3.14997E-4,-1.46073E-5,0.59644
16.60167,-40.93163,400,-40.93163,-0.3918,7.0294E-4,3.14997E-4,-1.46073E-5,0.89871
18.30182,-13.51442,500,-13.51442,-0.39075,0.00133,2.85782E-4,-1.34476E-4,1.34802
20.00093,-11.08348,600,-11.08348,-0.38865,0.00127,4.60459E-5,-6.70097E-5,2.01177
21.70261,-7.40719,700,-7.40719,-0.38418,0.00143,1.51763E-4,9.67836E-5,2.9899
23.40179,-9.41607,800,-9.41607,-0.37623,0.00158,2.39613E-4,1.19276E-4,4.42016
25.10275,-5.79959,900,-5.79959,-0.36466,0.0019,3.90314E-4,-3.2681E-5,6.50679
26.80083,10.94704,1000,10.94704,-0.34982,0.00236,1.74251E-4,-6.94688E-4,9.52777
28.49962,49.39641,1100,49.39641,-0.33299,0.00225,-9.99062E-4,-5.89849E-4,13.88857
30.19869,62.43176,1200,62.43176,-0.31277,3.60535E-4,-0.00101,0.00115,20.15097
31.8961,-40.73438,1300,-40.73438,-0.30112,2.4186E-4,0.00129,0.00114,29.08534
33.59533,-35.07448,1400,-35.07448,-0.29228,0.00295,0.00127,-8.93566E-4,41.78627
35.29335,69.58912,1500,69.58912,-0.27023,0.00278,-4.92376E-4,-6.69454E-4,59.69808
36.99288,56.48578,1600,56.48578,-0.24845,0.00197,-6.83289E-5,5.27535E-4,84.82127
38.69104,91.795,1700,91.795,-0.2246,0.00265,5.62695E-4,3.80102E-4,119.7081
40.39059,126.93914,1800,126.93914,-0.2003,0.00309,6.91875E-4,1.32032E-4,167.74809
42.08966,192.55764,1900,192.55764,-0.17564,0.00403,8.2676E-4,-3.18037E-5,233.01619
43.78905,297.28869,2000,297.28869,-0.15166,0.00474,6.28267E-4,-1.4402E-4,320.34616
45.48959,415.41056,2100,415.41056,-0.1304,0.00529,5.38719E-4,-8.44928E-6,434.92051
47.1887,559.89899,2200,559.89899,-0.11118,0.00582,6.11369E-4,1.59445E-4,581.09329
48.88823,717.80999,2300,717.80999,-0.09387,0.00651,8.57609E-4,5.91943E-5,761.40554
50.58526,914.64497,2400,914.64497,-0.07713,0.00754,7.29758E-4,-2.868E-4,973.48691
52.28584,1151.86638,2500,1151.86638,-0.06028,0.00797,2.84008E-4,-5.33057E-4,1209.02702
53.98524,1382.04159,2600,1382.04159,-0.04447,0.0081,-3.36357E-4,-7.27971E-4,1449.21449
55.68511,1630.20798,2700,1630.20798,-0.02863,0.0073,-0.00117,-7.60524E-4,1667.34013
57.3848,1798.10582,2800,1798.10582,-0.01563,0.00576,-0.00186,-7.40929E-4,1832.06769
59.0832,1927.93194,2900,1927.93194,-0.00432,0.00358,-0.00265,-2.81756E-4,1916.11968
60.78235,1927.7095,3000,1927.7095,0.00434,4.53424E-4,-0.00242,3.2216E-4,1905.42256
62.47736,1816.07172,3100,1816.07172,0.00851,-0.00126,-0.00201,4.15814E-4,1804.163
64.17775,1685.17447,3200,1685.17447,0.0117,-0.00357,-0.00159,8.55323E-4,1631.77709
65.87639,1397.18128,3300,1397.18128,0.01281,-0.00444,-2.98826E-4,7.02862E-4,1417.54436
67.57606,1202.47058,3400,1202.47058,0.01397,-0.00416,-1.83565E-4,2.62577E-4,1189.82396
69.27605,940.90213,3500,940.90213,0.01395,-0.00481,2.26329E-4,5.64619E-4,971.08344
70.97517,701.52875,3600,701.52875,0.01371,-0.00371,9.45674E-4,4.00949E-4,775.35395
72.67587,531.58551,3700,531.58551,0.01734,-0.00291,0.00103,-1.23291E-4,608.60159
74.37432,361.04058,3800,361.04058,0.01822,-0.00165,6.99093E-4,-5.40588E-4,471.94754
76.07498,296.80354,3900,296.80354,0.02235,-0.00152,-5.29474E-5,1.97302E-4,362.60092
77.77437,144.80182,4000,144.80182,0.02601,-0.00176,0.00109,5.08862E-4,276.93606
79.47567,69.98389,4100,69.98389,0.02884,6.70759E-4,9.64777E-4,-8.803E-4,210.60158
81.17606,116.7543,4200,116.7543,0.03614,1.69601E-4,-6.66904E-4,-4.85263E-4,159.80258
82.87569,12.44038,4300,12.44038,0.03877,-6.63048E-4,-5.75003E-6,8.52633E-4,121.13607
84.57688,4.22881,4400,4.22881,0.04413,1.58101E-4,0.00104,8.2463E-5,91.78406
86.27757,-26.21085,4500,-26.21085,0.04983,0.00141,1.59176E-4,-0.00121,69.58385
87.97896,72.51435,4600,72.51435,0.05666,4.76453E-4,-0.00139,6.03059E-5,52.79969
89.67958,-22.8081,4700,-22.8081,0.05883,-0.00136,2.79788E-4,0.00134,40.12361
91.38208,-62.08729,4800,-62.08729,0.06364,0.00104,0.00128,-7.09764E-4,30.5313
93.08187,30.44959,4900,30.44959,0.07037,0.00121,-0.00114,-7.39063E-4,23.28468
94.78158,4.11551,5000,4.11551,0.07141,-0.00124,-1.94771E-4,0.0013,17.79302
96.48463,-94.33727,5100,-94.33727,0.07427,8.17099E-4,0.00146,-2.05073E-4,13.61733
98.18503,41.09761,5200,41.09761,0.08032,0.00168,-6.04917E-4,-9.96897E-4,10.448
99.88783,15.75985,5300,15.75985,0.08056,-3.92736E-4,-5.30769E-4,4.11283E-4,8.03061
101.58806,1.97251,5400,1.97251,0.08245,6.21058E-4,2.17649E-4,1.20761E-4,6.18845
103.29065,73.85168,5500,73.85168,0.0856,4.25616E-5,-2.89248E-4,-2.53448E-4,4.77759
104.99158,35.97861,5600,35.97861,0.08499,4.25616E-5,-2.89248E-4,-2.53448E-4,3.69739
106.69345,--,5700,--,0.08759,,,,2.86727
108.39587,--,5800,--,0.09096,,,,2.22817
