temp,cp,time,Norm,RAWCP,First,Second,Third
12.13564,,100,-0.5831,-0.5831,,,
13.83688,,200,-21649.75951,-0.42958,,,
15.53673,-6.54694,300,-6.54694,-0.42838,8.5844E-6,1.15891E-4,-2.08669E-5
17.23732,-14.91938,400,-14.91938,-0.42949,8.5844E-6,1.15891E-4,-2.08669E-5
18.93619,-0.23023,500,-0.23023,-0.42813,2.40366E-4,7.41568E-5,-1.20207E-4
20.63514,8.54543,600,8.54543,-0.42408,1.56898E-4,-1.24523E-4,-1.6468E-5
22.3353,9.42129,700,9.42129,-0.41772,-8.68035E-6,4.12208E-5,1.23094E-4
24.03355,-3.42986,800,-3.42986,-0.4095,2.3934E-4,1.21666E-4,-1.42837E-4
25.73397,17.10951,900,17.10951,-0.39657,2.34651E-4,-2.44453E-4,-2.68056E-5
27.43146,-2.47339,1000,-2.47339,-0.38102,-2.49566E-4,6.80546E-5,4.57105E-4
29.13131,-38.68681,1100,-38.68681,-0.36827,3.7076E-4,6.69757E-4,1.08207E-4
30.8282,-5.65545,1200,-5.65545,-0.35414,0.00109,2.84468E-4,-4.59902E-4
32.52731,20.62882,1300,20.62882,-0.33703,9.39697E-4,-2.50046E-4,-3.01209E-4
34.22649,30.4109,1400,30.4109,-0.31797,5.89856E-4,-3.17949E-4,7.71882E-5
35.92535,14.93622,1500,14.93622,-0.29743,3.03798E-4,-9.56697E-5,2.34423E-4
37.62528,-10.01822,1600,-10.01822,-0.27584,3.98517E-4,1.50897E-4,2.06404E-4
39.32394,-21.41507,1700,-21.41507,-0.2534,6.05593E-4,3.17139E-4,2.66043E-4
41.02394,-30.5637,1800,-30.5637,-0.23063,0.00103,6.82982E-4,2.66158E-4
42.72199,-3.53307,1900,-3.53307,-0.20765,0.00197,8.49454E-4,-2.14899E-5
44.42059,77.74106,2000,77.74106,-0.18533,0.00273,6.40003E-4,-1.33406E-4
46.11705,177.61567,2100,177.61567,-0.16548,0.00325,5.82641E-4,-6.22829E-5
47.81652,307.85483,2200,307.85483,-0.14755,0.0039,5.15437E-4,-1.3032E-4
49.51672,469.6769,2300,469.6769,-0.13133,0.00428,3.22E-4,-2.09321E-4
51.21362,636.25767,2400,636.25767,-0.11651,0.00454,9.67954E-5,-2.47232E-5
52.91245,822.00652,2500,822.00652,-0.1025,0.00448,2.72554E-4,4.07326E-4
54.61099,980.22703,2600,980.22703,-0.08962,0.00509,9.11447E-4,4.34084E-4
56.31066,1226.08896,2700,1226.08896,-0.07563,0.0063,0.00114,3.53193E-4
58.00943,1505.61032,2800,1505.61032,-0.06207,0.00737,0.00162,5.55072E-5
59.70808,1858.6888,2900,1858.6888,-0.04685,0.00953,0.00125,-9.17177E-4
61.40555,2356.56629,3000,2356.56629,-0.03005,0.00987,-2.16521E-4,-0.00138
63.10228,2743.91218,3100,2743.91218,-0.01495,0.0091,-0.00151,-0.00161
64.80181,3164.87416,3200,3164.87416,-3.72E-4,0.00684,-0.00343,-0.0016
66.50037,3325.71172,3300,3325.71172,0.00946,0.00223,-0.00472,-7.6203E-4
68.20088,3283.4091,3400,3283.4091,0.01489,-0.00259,-0.00496,8.88992E-4
69.89999,2960.24574,3500,2960.24574,0.01447,-0.00768,-0.00294,0.00225
71.60164,2406.62713,3600,2406.62713,0.00914,-0.00846,-4.5589E-4,0.00124
73.30247,2007.55823,3700,2007.55823,0.00734,-0.0086,-4.50774E-4,0.00101
75.0017,1443.92491,3800,1443.92491,0.00206,-0.00937,0.00157,0.00155
76.70314,970.8435,3900,970.8435,-0.00132,-0.00545,0.00264,-4.96763E-4
78.40165,806.04872,4000,806.04872,-3.48E-4,-0.00408,5.8001E-4,-6.24688E-4
80.10213,475.27599,4100,475.27599,-2.01E-4,-0.00429,0.00139,6.13417E-4
81.80063,294.38277,4200,294.38277,0.00233,-0.0013,0.00181,-8.6206E-4
83.50043,270.61009,4300,270.61009,0.00495,-6.75079E-4,-3.31183E-4,-0.00107
85.20087,157.84588,4400,157.84588,0.00954,-0.00196,-3.31862E-4,9.62366E-4
86.90267,10.84618,4500,10.84618,0.01428,-0.00134,0.00159,6.54296E-4
88.60406,-33.06384,4600,-33.06384,0.0164,0.00123,9.76729E-4,-0.00136
90.30345,86.08275,4700,86.08275,0.02296,6.14655E-4,-0.00112,-6.45163E-4
92.00501,-11.04459,4800,-11.04459,0.02731,-0.00102,-3.13597E-4,0.00114
93.70231,-48.55237,4900,-48.55237,0.02952,-1.25399E-5,0.00116,6.67221E-7
95.40369,-40.57583,5000,-40.57583,0.03273,0.0013,-3.12263E-4,-9.27467E-4
97.10424,56.99917,5100,56.99917,0.03788,-6.37066E-4,-6.95021E-4,5.19314E-4
98.80395,-125.52188,5200,-125.52188,0.03795,-8.69229E-5,7.26366E-4,1.46822E-4
100.50676,36.01834,5300,36.01834,0.04133,8.15666E-4,-4.01377E-4,-1.05724E-4
102.20765,-40.10806,5400,-40.10806,0.04093,-8.89678E-4,5.14918E-4,4.7424E-4
103.90938,-23.86629,5500,-23.86629,0.04332,0.00185,5.47102E-4,-6.67703E-4
105.60984,215.08628,5600,215.08628,0.04676,2.04526E-4,-8.20488E-4,-6.83795E-4
107.31188,118.86488,5700,118.86488,0.0458,2.04526E-4,-8.20488E-4,-6.83795E-4
